Short Name,Birthdate,Team,Match,Date,Competition,Season,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Explosive Acceleration to Sprint Count,Time to Sprint,PSV-99,Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprint Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP, Explosive Acceleration to HSR Count TIP, Explosive Acceleration to Sprint Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP, Explosive Acceleration to HSR Count 1 TIP, Explosive Acceleration to Sprint Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP, Explosive Acceleration to HSR Count 2 TIP, Explosive Acceleration to Sprint Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP
K. Diatta,25/02/1999,AS Monaco,Clermont Foot 63 v AS Monaco,05/02/2023,FRA - Ligue 1,2022/2023,Wide Attacker,90.67,23.55,28.7,46.12,13.25,16.17,44.55,10.3,12.53,TRUE,10550,116.36,1703,798,68,159,11,957,79,108,11,86,22,null,null,null,null,27.3,10472.43,116.36,1690.48,792.13,67.5,157.83,10.92,949.96,78.42,107.21,10.92,85.37,21.84,null,null,3645,154.78,810,516,40,115,8,631,48,45,4,26,5,null,null,3858,134.43,724,211,19,23,0,234,19,41,1,31,6,null,null,5589,121.19,907,418,34,65,5,483,39,64,8,49,13,null,null,2067,156,449,308,22,54,4,362,26,22,2,11,3,null,null,2129,131.69,369,70,7,10,0,80,7,27,1,21,3,null,null,4961,111.36,796,380,34,94,6,474,40,44,3,37,9,null,null,1578,153.2,361,208,18,61,4,269,22,23,2,15,2,null,null,1729,137.95,355,141,12,13,0,154,12,14,0,10,3,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Paris Saint-Germain,11/02/2023,FRA - Ligue 1,2022/2023,Wide Attacker,96.08,26.8,37.48,46.82,12.92,17.13,49.27,13.88,20.35,TRUE,11118,115.71,1493,699,76,338,19,1037,95,124,9,97,28,null,null,null,null,30.3,10414.08,115.71,1398.47,654.74,71.19,316.6,17.8,971.34,88.99,116.15,8.43,90.86,26.23,null,null,3699,138.02,673,395,39,249,12,644,51,50,4,30,5,null,null,5026,134.09,692,258,33,87,3,345,36,52,3,43,13,null,null,5458,116.58,723,357,42,181,11,538,53,58,6,42,18,null,null,1749,135.41,270,174,20,123,6,297,26,22,3,12,3,null,null,2384,139.14,370,146,19,56,2,202,21,21,2,18,8,null,null,5660,114.88,770,342,34,157,8,499,42,66,3,55,10,null,null,1950,140.46,403,221,19,126,6,347,25,28,1,18,2,null,null,2642,129.83,322,112,14,31,1,143,15,31,1,25,5,null,null
K. Diatta,25/02/1999,AS Monaco,Bayer 04 Leverkusen v AS Monaco,16/02/2023,UEFA - Europa League,2022/2023,Wide Attacker,102.88,30.9,32.32,49,16.4,18.02,53.88,14.5,14.3,TRUE,11516,111.93,1767,712,65,125,8,837,73,128,14,99,24,null,null,null,null,29.1,10073.93,111.93,1545.73,622.84,56.86,109.35,7,732.19,63.86,111.97,12.25,86.6,20.99,null,null,4173,135.05,814,375,31,86,5,461,36,49,3,29,5,null,null,4548,140.73,788,307,29,34,2,341,31,49,3,35,10,null,null,5833,119.04,956,363,31,27,3,390,34,64,11,51,15,null,null,2228,135.85,484,226,18,20,3,246,21,27,2,15,4,null,null,2468,136.98,392,121,12,7,0,128,12,22,2,21,5,null,null,5683,105.47,811,349,34,98,5,447,39,64,3,48,9,null,null,1945,134.14,330,149,13,66,2,215,15,22,1,14,1,null,null,2080,145.45,396,186,17,27,2,213,19,27,1,14,5,null,null
K. Diatta,25/02/1999,AS Monaco,Stade Brestois 29 v AS Monaco,19/02/2023,FRA - Ligue 1,2022/2023,Wide Attacker,96.7,27.5,29.22,46.07,14.9,13.8,50.63,12.6,15.42,TRUE,10985,113.6,1427,844,87,341,18,1185,105,118,16,104,26,null,null,null,null,29.4,10223.89,113.6,1328.13,785.52,80.97,317.37,16.75,1102.9,97.72,109.82,14.89,96.79,24.2,null,null,3835,139.45,617,452,43,212,9,664,52,49,5,33,6,null,null,3970,135.88,656,324,36,114,6,438,42,43,6,35,11,null,null,5252,114.01,700,405,45,129,9,534,54,57,11,52,18,null,null,1934,129.8,300,200,21,75,4,275,25,27,3,18,4,null,null,1875,135.87,323,166,19,44,2,210,21,15,5,13,8,null,null,5733,113.23,727,439,42,212,9,651,51,61,5,52,8,null,null,1901,150.87,317,252,22,137,5,389,27,22,2,15,2,null,null,2095,135.89,333,158,17,70,4,228,21,28,1,22,3,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Bayer 04 Leverkusen,23/02/2023,UEFA - Europa League,2022/2023,Wide Attacker,94.52,31.83,29.33,46.1,14.92,14.33,48.42,16.92,15,TRUE,11477,121.43,1751,735,76,272,14,1007,90,126,15,120,24,null,null,null,null,29.3,10928.55,121.43,1667.32,699.88,72.37,259,13.33,958.88,85.7,119.98,14.28,114.27,22.85,null,null,4578,143.81,760,331,32,169,5,500,37,50,3,39,4,null,null,4406,150.2,872,374,38,100,4,474,42,51,6,37,12,null,null,5770,125.16,905,343,36,133,6,476,42,65,8,58,14,null,null,2140,143.46,330,154,14,80,2,234,16,22,1,17,2,null,null,2295,160.12,505,176,21,50,2,226,23,30,3,21,8,null,null,5707,117.87,846,392,40,139,8,531,48,61,7,62,10,null,null,2438,144.12,430,177,18,89,3,266,21,28,2,22,2,null,null,2111,140.73,367,198,17,50,2,248,19,21,3,16,4,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v OGC Nice,26/02/2023,FRA - Ligue 1,2022/2023,Full Back,94.32,37.35,27.13,47.15,19.65,11.58,47.17,17.7,15.55,TRUE,11113,117.83,1777,494,50,101,8,595,58,108,5,98,17,null,null,null,null,27.3,10604.38,117.83,1695.67,471.39,47.71,96.38,7.63,567.77,55.35,103.06,4.77,93.51,16.22,null,null,5131,137.38,949,300,31,81,4,381,35,55,3,43,7,null,null,3482,128.33,641,155,15,19,2,174,17,43,1,30,5,null,null,5690,120.68,937,266,26,54,4,320,30,58,2,51,11,null,null,2767,140.81,559,146,16,45,2,191,18,32,2,26,6,null,null,1561,134.76,262,104,8,9,1,113,9,19,0,13,2,null,null,5423,114.98,840,228,24,47,4,275,28,50,3,47,6,null,null,2364,133.56,390,154,15,36,2,190,17,23,1,17,1,null,null,1921,123.54,379,51,7,10,1,61,8,24,1,17,3,null,null
K. Diatta,25/02/1999,AS Monaco,ES Troyes AC v AS Monaco,05/03/2023,FRA - Ligue 1,2022/2023,Wide Attacker,66.1,25.43,17.17,45.15,16.15,12.03,20.95,9.28,5.13,TRUE,8028,121.45,1088,568,62,166,10,734,72,102,10,76,19,null,null,null,null,29.2,10930.71,121.45,1481.39,773.37,84.42,226.02,13.62,999.39,98.03,138.88,13.62,103.48,25.87,null,null,3741,147.09,624,355,37,120,7,475,44,51,4,31,3,null,null,2391,139.28,413,193,19,29,1,222,20,36,3,23,5,null,null,5497,121.75,692,465,49,143,9,608,58,73,9,51,16,null,null,2369,146.69,368,284,29,115,7,399,36,31,3,18,2,null,null,1729,143.68,299,161,15,11,1,172,16,29,3,19,4,null,null,2531,120.81,396,103,13,23,1,126,14,29,1,25,3,null,null,1372,147.79,256,71,8,5,0,76,8,20,1,13,1,null,null,662,128.96,114,32,4,18,0,50,4,7,0,4,1,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Stade de Reims,12/03/2023,FRA - Ligue 1,2022/2023,Wide Attacker,45.17,13.15,15.75,45.13,13.15,15.75,0.03,0,0,TRUE,5518,122.17,765,331,37,139,9,470,46,67,9,55,16,null,null,null,null,29,10995.28,122.17,1524.35,659.56,73.73,276.97,17.93,936.53,91.66,133.51,17.93,109.59,31.88,null,null,1935,147.15,372,182,19,102,5,284,24,24,2,14,2,null,null,2170,137.78,331,138,16,34,2,172,18,23,2,17,7,null,null,5518,122.26,765,331,37,139,9,470,46,67,9,55,16,null,null,1935,147.15,372,182,19,102,5,284,24,24,2,14,2,null,null,2170,137.78,331,138,16,34,2,172,18,23,2,17,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
K. Diatta,25/02/1999,AS Monaco,FC Nantes v AS Monaco,09/04/2023,FRA - Ligue 1,2022/2023,Wide Attacker,97.5,25.63,23.83,47.27,14.35,11.02,50.23,11.28,12.82,TRUE,11369,116.61,1643,700,65,259,16,959,81,106,6,92,19,null,null,null,null,29,10494.46,116.61,1516.62,646.15,60,239.08,14.77,885.23,74.77,97.85,5.54,84.92,17.54,null,null,3950,154.1,771,452,33,174,9,626,42,46,4,30,4,null,null,3658,153.48,668,204,25,85,6,289,31,34,1,30,4,null,null,5614,118.77,948,384,31,104,6,488,37,53,4,50,9,null,null,2198,153.17,475,276,18,81,4,357,22,27,3,19,3,null,null,1644,149.23,330,80,10,23,2,103,12,15,1,14,2,null,null,5755,114.57,695,316,34,155,10,471,44,53,2,42,10,null,null,1752,155.27,296,176,15,93,5,269,20,19,1,11,1,null,null,2014,157.14,338,124,15,62,4,186,19,19,0,16,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v FC Lorient,16/04/2023,FRA - Ligue 1,2022/2023,Wide Attacker,91.92,25.92,28.58,47.3,14.6,13.58,44.62,11.32,15,TRUE,10582,115.13,1482,614,63,193,11,807,74,118,8,106,20,null,null,null,null,28.2,10361.34,115.13,1451.1,601.2,61.69,188.98,10.77,790.17,72.46,115.54,7.83,103.79,19.58,null,null,3706,143,625,399,37,148,8,547,45,50,3,35,4,null,null,4057,141.94,721,175,20,37,2,212,22,43,2,34,7,null,null,5449,115.2,756,257,30,97,5,354,35,68,5,55,11,null,null,1993,136.51,269,170,18,87,4,257,22,30,2,20,2,null,null,1983,145.99,406,68,8,5,0,73,8,20,1,15,2,null,null,5133,115.05,726,357,33,96,6,453,39,50,3,51,9,null,null,1713,151.37,356,229,19,61,4,290,23,20,1,15,2,null,null,2074,138.27,315,107,12,32,2,139,14,23,1,19,5,null,null
K. Diatta,25/02/1999,AS Monaco,RC Lens v AS Monaco,22/04/2023,FRA - Ligue 1,2022/2023,Wide Attacker,71.5,13.35,26.57,48.05,8.95,18.52,23.45,4.4,8.05,TRUE,8546,119.52,1553,573,57,57,7,630,64,80,8,68,14,null,null,null,null,27.1,10757.2,119.52,1954.83,721.26,71.75,71.75,8.81,793.01,80.56,100.7,10.07,85.59,17.62,null,null,2112,158.2,491,202,20,25,3,227,23,24,2,15,3,null,null,4007,150.83,908,328,32,32,2,360,34,45,5,31,6,null,null,5845,121.64,1055,382,40,53,6,435,46,55,6,43,10,null,null,1411,157.65,326,134,15,22,3,156,18,15,1,9,2,null,null,2834,153.05,645,209,22,31,2,240,24,34,4,21,5,null,null,2701,115.18,498,191,17,4,1,195,18,25,2,25,4,null,null,701,159.32,165,68,5,3,0,71,5,9,1,6,1,null,null,1173,145.71,263,119,10,1,0,120,10,11,1,10,1,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Montpellier Hérault SC,30/04/2023,FRA - Ligue 1,2022/2023,Wide Attacker,45.23,9.62,12.52,0,0,0,45.23,9.62,12.52,TRUE,5193,114.8,771,312,25,29,4,341,29,57,5,46,12,null,null,null,null,26,10332.42,114.8,1534.05,620.78,49.74,57.7,7.96,678.48,57.7,113.41,9.95,91.53,23.88,null,null,1424,148.08,312,112,7,10,1,122,8,17,1,10,3,null,null,1913,152.84,362,166,17,18,2,184,19,24,1,17,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5193,114.8,771,312,25,29,4,341,29,57,5,46,12,null,null,1424,148.08,312,112,7,10,1,122,8,17,1,10,3,null,null,1913,152.84,362,166,17,18,2,184,19,24,1,17,4,null,null
K. Diatta,25/02/1999,AS Monaco,Angers SCO v AS Monaco,07/05/2023,FRA - Ligue 1,2022/2023,Full Back,89.53,20.42,30.33,47.12,12.68,14.27,42.42,7.73,16.07,TRUE,10276,114.77,1215,763,65,200,10,963,75,100,8,84,17,null,null,null,null,28.4,10329.56,114.77,1221.33,766.98,65.34,201.04,10.05,968.02,75.39,100.52,8.04,84.44,17.09,null,null,3164,154.97,540,440,32,134,6,574,38,32,3,25,4,null,null,3949,130.19,536,253,26,41,3,294,29,46,2,36,7,null,null,5541,117.6,679,467,38,125,6,592,44,55,5,46,12,null,null,1974,155.64,326,292,21,70,4,362,25,21,2,18,3,null,null,1881,131.85,265,130,14,34,2,164,16,25,1,17,4,null,null,4735,111.63,536,296,27,75,4,371,31,45,3,38,5,null,null,1190,153.88,214,148,11,64,2,212,13,11,1,7,1,null,null,2068,128.71,271,123,12,7,1,130,13,21,1,19,3,null,null
K. Diatta,25/02/1999,AS Monaco,Stade de Reims v AS Monaco,07/10/2023,FRA - Ligue 1,2023/2024,Full Back,98.07,23.17,27.38,47,12.3,10.92,51.07,10.87,16.47,TRUE,11296,115.19,1785,841,72,279,13,1120,85,106,9,86,23,6,0.8,2,1.71,29.7,10366.83,115.19,1638.17,771.82,66.08,256.05,11.93,1027.87,78.01,97.28,8.26,78.93,21.11,5.51,1.84,3447,148.79,691,286,26,88,4,374,30,34,3,24,5,2,0,4330,158.13,871,513,38,97,8,610,46,53,3,32,9,2,1,5392,114.72,798,420,35,182,7,602,42,56,4,45,11,2,1,1841,149.67,370,160,13,68,2,228,15,22,2,15,3,1,0,1766,161.77,314,238,18,37,4,275,22,25,1,15,4,0,0,5904,115.61,987,421,37,97,6,518,43,50,5,41,12,4,1,1606,147.79,321,126,13,20,2,146,15,12,1,9,2,0,0,2564,155.71,557,275,20,60,4,335,24,28,2,17,5,2,0
K. Diatta,25/02/1999,AS Monaco,AS Monaco v FC Metz,22/10/2023,FRA - Ligue 1,2023/2024,Full Back,97.27,40.85,15.2,48.45,23.83,6.05,48.82,17.02,9.15,TRUE,10981,112.9,1469,707,63,239,12,946,75,96,12,89,16,8,0.66,2,1.3,30.7,10160.62,112.9,1359.25,654.18,58.29,221.14,11.1,875.33,69.4,88.83,11.1,82.35,14.8,7.4,1.85,5137,125.75,749,359,31,114,4,473,35,34,6,35,5,3,1,2485,163.49,577,302,25,107,5,409,30,31,2,15,4,2,0,5589,115.36,734,359,30,115,4,474,34,49,6,52,7,4,0,3039,127.51,454,218,19,69,2,287,21,18,3,23,2,2,0,983,162.48,214,126,9,45,2,171,11,14,1,8,1,1,0,5392,110.45,735,348,33,124,8,472,41,47,6,37,9,4,2,2098,123.29,295,141,12,45,2,186,14,16,3,12,3,1,1,1502,164.15,363,176,16,62,3,238,19,17,1,7,3,1,0
K. Diatta,25/02/1999,AS Monaco,LOSC Lille v AS Monaco,29/10/2023,FRA - Ligue 1,2023/2024,Full Back,95.43,29.25,17.85,46.2,13.23,12,49.23,16.02,5.85,TRUE,10419,109.18,1444,599,50,116,8,715,58,109,9,81,16,7,0.68,3,1.22,29.1,9825.81,109.18,1361.79,564.9,47.15,109.4,7.54,674.29,54.7,102.79,8.49,76.39,15.09,6.6,2.83,4041,138.15,673,312,25,78,4,390,29,40,6,27,7,5,2,2797,156.69,537,228,19,32,2,260,21,32,1,20,3,0,0,5530,119.7,970,335,29,46,4,381,33,59,4,44,9,2,1,1935,146.22,418,145,11,19,1,164,12,19,2,12,3,1,0,1951,162.58,414,166,13,26,2,192,15,21,1,15,2,0,0,4889,99.3,474,264,21,70,4,334,25,50,5,37,7,5,2,2106,131.49,255,167,14,59,3,226,17,21,4,15,4,4,2,846,144.62,123,62,6,6,0,68,6,11,0,5,1,0,0
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Stade Brestois 29,05/11/2023,FRA - Ligue 1,2023/2024,Full Back,101,23.02,28.32,49.52,11.37,12.67,51.48,11.65,15.65,TRUE,11507,113.93,1735,817,64,226,12,1043,76,124,11,110,13,6,0.66,3,1.37,28.8,10253.76,113.93,1546.04,728.02,57.03,201.39,10.69,929.41,67.72,110.5,9.8,98.02,11.58,5.35,2.67,3275,142.29,617,343,24,97,4,440,28,31,3,24,1,2,1,4289,151.47,905,373,33,128,7,501,40,58,4,45,6,2,1,5697,115.05,981,453,31,86,4,539,35,61,5,49,6,2,1,1678,147.62,340,214,12,46,1,260,13,18,2,13,1,1,1,2042,161.21,513,183,13,39,2,222,15,27,1,18,2,0,0,5810,112.85,754,364,33,140,8,504,41,63,6,61,7,4,2,1597,137.08,277,129,12,51,3,180,15,13,1,11,0,0,0,2247,143.58,392,190,20,89,5,279,25,31,3,27,4,2,1
K. Diatta,25/02/1999,AS Monaco,Le Havre AC v AS Monaco,11/11/2023,FRA - Ligue 1,2023/2024,Full Back,47.05,15.4,9.82,47.03,15.38,9.82,0.02,0.02,0,TRUE,5408,114.94,755,412,32,73,6,485,38,64,6,54,11,3,0.77,1,2.13,26.5,10344.74,114.94,1444.21,788.1,61.21,139.64,11.48,927.74,72.69,122.42,11.48,103.29,21.04,5.74,1.91,2036,132.21,373,183,12,12,1,195,13,26,2,21,2,2,0,1644,167.47,322,207,15,60,4,267,19,23,3,15,4,1,1,5408,114.98,755,412,32,73,6,485,38,64,6,54,11,3,1,2036,132.35,373,183,12,12,1,195,13,26,2,21,2,2,0,1644,167.47,322,207,15,60,4,267,19,23,3,15,4,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Olympique Lyonnais,15/12/2023,FRA - Ligue 1,2023/2024,Full Back,96.3,33.67,22.43,45.1,15.67,13.47,51.2,18,8.97,TRUE,11283,117.17,1700,823,80,276,18,1099,98,130,11,111,26,10,0.63,6,1.24,30.7,10544.86,117.17,1588.79,769.16,74.77,257.94,16.82,1027.1,91.59,121.5,10.28,103.74,24.3,9.35,5.61,4563,135.53,712,336,33,110,8,446,41,44,5,39,6,5,3,3548,158.16,795,449,39,157,9,606,48,45,4,29,11,3,2,5688,126.12,855,510,49,171,13,681,62,71,7,56,20,6,4,2083,132.96,278,166,15,55,4,221,19,21,2,14,4,2,1,2222,165,479,320,28,116,8,436,36,27,4,18,10,3,2,5595,109.28,845,313,31,105,5,418,36,59,4,55,6,4,2,2480,137.78,434,170,18,55,4,225,22,23,3,25,2,3,2,1326,147.88,316,129,11,41,1,170,12,18,0,11,1,0,0
K. Diatta,25/02/1999,AS Monaco,Stade Brestois 29 v AS Monaco,21/04/2024,FRA - Ligue 1,2023/2024,Wide Attacker,100.92,22.2,29.53,48.03,12.22,15.5,52.88,9.98,14.03,TRUE,10708,106.11,1527,592,61,183,10,775,71,112,12,87,24,5,0.66,1,1.92,29.7,9549.66,106.11,1361.82,527.96,54.4,163.2,8.92,691.16,63.32,99.88,10.7,77.59,21.4,4.46,0.89,2967,133.65,534,250,24,83,4,333,28,38,3,24,4,1,1,4223,142.99,854,297,30,80,4,377,34,47,4,30,10,2,0,5335,111.07,842,278,30,86,4,364,34,64,8,45,18,1,0,1591,130.23,329,132,12,22,1,154,13,21,2,13,3,0,0,2160,139.35,435,122,15,51,2,173,17,28,2,15,7,1,0,5373,101.6,685,314,31,97,6,411,37,48,4,42,6,3,1,1376,137.83,205,118,12,61,3,179,15,17,1,11,1,1,1,2063,147.01,419,175,15,29,2,204,17,19,2,15,3,2,0
K. Diatta,25/02/1999,AS Monaco,Olympique Lyonnais v AS Monaco,28/04/2024,FRA - Ligue 1,2023/2024,Full Back,99.25,28.88,25.95,49.25,11.85,15.13,50,17.03,10.82,TRUE,10911,109.93,1587,640,67,266,14,906,81,111,11,100,21,8,0.77,5,1.43,30.1,9894.11,109.93,1439.09,580.35,60.76,241.21,12.7,821.56,73.45,100.65,9.97,90.68,19.04,7.25,4.53,3688,127.69,599,177,19,39,2,216,21,35,2,26,4,1,1,3874,149.29,786,412,40,209,10,621,50,48,5,38,6,4,2,5366,108.95,821,413,40,152,8,565,48,56,6,47,12,4,3,1564,131.98,296,84,10,23,1,107,11,15,0,9,2,0,0,2223,146.89,435,308,25,120,6,428,31,28,3,25,3,2,2,5545,110.9,766,227,27,114,6,341,33,55,5,53,9,4,1,2124,124.7,303,93,9,16,1,109,10,20,2,17,2,1,1,1651,152.63,351,104,15,89,4,193,19,20,2,13,3,2,0
K. Diatta,25/02/1999,AS Monaco,AS Monaco v LOSC Lille,24/04/2024,FRA - Ligue 1,2023/2024,Full Back,96.4,25.38,29.58,46.2,13.37,14.58,50.2,12.02,15,TRUE,10558,109.52,1440,619,64,214,11,833,75,136,16,111,28,14,0.65,4,1.2,29.8,9857.05,109.52,1344.4,577.9,59.75,199.79,10.27,777.7,70.02,126.97,14.94,103.63,26.14,13.07,3.73,3362,132.45,570,144,17,31,2,175,19,39,2,33,3,1,0,4140,139.94,719,443,40,170,7,613,47,63,8,36,13,7,3,5255,113.74,702,345,36,165,7,510,43,62,10,57,14,9,2,1823,136.38,287,79,9,21,1,100,10,19,1,18,2,1,0,2017,138.31,342,252,22,137,4,389,26,29,4,18,6,3,1,5303,105.64,738,274,28,49,4,323,32,74,6,54,14,5,2,1539,128.07,283,65,8,10,1,75,9,20,1,15,1,0,0,2123,141.53,377,191,18,33,3,224,21,34,4,18,7,4,2
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Clermont Foot 63,04/05/2024,FRA - Ligue 1,2023/2024,Full Back,99,29.62,19.12,48.02,15.67,9.95,50.98,13.95,9.17,TRUE,10662,107.7,1328,676,63,201,13,877,76,99,6,86,15,5,0.76,0,null,29.5,9692.73,107.7,1207.27,614.55,57.27,182.73,11.82,797.27,69.09,90,5.45,78.18,13.64,4.55,0,4015,135.57,601,283,25,84,5,367,30,32,2,24,5,2,0,3127,163.57,580,359,31,88,5,447,36,36,2,23,4,1,0,5430,113.09,738,337,27,36,4,373,31,50,2,44,7,2,0,2136,136.34,365,139,10,15,1,154,11,14,1,12,2,1,0,1657,166.53,320,197,14,20,2,217,16,17,1,11,2,0,0,5232,102.62,590,339,36,165,9,504,45,49,4,42,8,3,0,1879,134.7,236,144,15,69,4,213,19,18,1,12,3,1,0,1470,160.36,260,162,17,68,3,230,20,19,1,12,2,1,0
K. Diatta,25/02/1999,AS Monaco,Montpellier Hérault SC v AS Monaco,12/05/2024,FRA - Ligue 1,2023/2024,Full Back,87.37,26.97,22.07,46.97,16.3,12.88,40.4,10.67,9.18,TRUE,9930,113.66,1367,514,60,254,13,768,73,101,11,86,16,9,0.56,4,1.11,30.6,10229.3,113.66,1408.2,529.49,61.81,261.66,13.39,791.15,75.2,104.04,11.33,88.59,16.48,9.27,4.12,3502,129.86,487,179,27,153,7,332,34,36,4,29,3,3,1,3317,150.32,725,310,29,79,4,389,33,39,3,27,6,2,1,5501,117.13,784,278,36,181,8,459,44,55,4,47,9,4,3,2161,132.58,309,103,15,91,4,194,19,20,1,17,2,1,1,1883,146.16,419,171,18,69,4,240,22,21,1,16,4,1,0,4429,109.63,583,236,24,73,5,309,29,46,7,39,7,5,1,1341,125.72,178,76,12,62,3,138,15,16,3,12,1,2,1,1434,156.15,306,139,11,10,0,149,11,18,2,11,2,2,0
K. Diatta,25/02/1999,AS Monaco,AS Monaco v FC Nantes,19/05/2024,FRA - Ligue 1,2023/2024,Full Back,66.1,22.87,13.02,49.02,15.7,7.88,17.08,7.17,5.13,TRUE,6961,105.31,930,436,48,239,14,675,62,79,8,64,16,7,0.72,4,1.38,30.6,9477.91,105.31,1266.26,593.65,65.36,325.42,19.06,919.06,84.42,107.56,10.89,87.14,21.79,9.53,5.45,2735,119.61,336,191,18,68,5,259,23,29,5,22,4,4,4,2015,154.8,431,189,20,145,5,334,25,28,2,17,4,2,0,4910,100.17,590,277,34,187,10,464,44,56,6,46,13,6,3,1886,120.13,240,154,16,50,4,204,20,20,4,18,3,4,3,1235,156.66,227,91,12,112,3,203,15,19,1,10,3,1,0,2051,120.06,340,159,14,52,4,211,18,23,2,18,3,1,1,849,118.47,96,37,2,18,1,55,3,9,1,4,1,0,0,780,151.95,204,98,8,33,2,131,10,9,1,7,1,1,0
K. Diatta,25/02/1999,AS Monaco,OGC Nice v AS Monaco,27/10/2024,FRA - Ligue 1,2024/2025,Full Back,49.28,13.87,14.03,0,0,0,49.28,13.87,14.03,TRUE,5340,108.35,647,332,39,258,9,590,48,54,5,42,13,4,0.62,2,1.49,31.6,9751.78,108.35,1181.54,606.29,71.22,471.15,16.44,1077.44,87.66,98.61,9.13,76.7,23.74,7.3,3.65,1743,125.7,245,78,11,22,1,100,12,15,2,11,2,1,0,2204,157.05,353,253,27,217,8,470,35,29,1,16,3,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5340,108.35,647,332,39,258,9,590,48,54,5,42,13,4,2,1743,125.7,245,78,11,22,1,100,12,15,2,11,2,1,0,2204,157.05,353,253,27,217,8,470,35,29,1,16,3,1,1
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Angers SCO,01/11/2024,FRA - Ligue 1,2024/2025,Full Back,100.13,36,19.13,50.07,17.58,11.13,50.07,18.42,8,TRUE,11359,113.44,1901,697,59,144,9,841,68,112,8,95,16,7,0.72,1,1.43,28.3,10209.49,113.44,1708.62,626.46,53.03,129.43,8.09,755.89,61.12,100.67,7.19,85.39,14.38,6.29,0.9,5105,141.81,906,163,19,30,2,193,21,39,3,30,2,2,0,3254,170.07,852,453,33,114,6,567,39,47,3,30,6,3,1,6006,119.96,1015,386,33,102,7,488,40,63,3,55,10,3,1,2587,147.13,443,72,8,11,1,83,9,18,1,16,1,1,0,1965,176.5,492,269,21,91,5,360,26,30,2,19,4,2,1,5353,106.92,886,311,26,42,2,353,28,49,5,40,6,4,0,2518,136.72,463,91,11,19,1,110,12,21,2,14,1,1,0,1289,161.12,360,184,12,23,1,207,13,17,1,11,2,1,0
K. Diatta,25/02/1999,AS Monaco,SL Benfica v AS Monaco,18/02/2025,UEFA - Champions League,2024/2025,Full Back,103.4,29.62,20.6,49.08,15.78,10.75,54.32,13.83,9.85,TRUE,10954,105.94,1541,657,61,236,15,893,76,125,10,110,20,9,0.8,2,1.54,29.3,9534.43,105.94,1341.3,571.86,53.09,205.42,13.06,777.27,66.15,108.8,8.7,95.74,17.41,7.83,1.74,3953,133.47,668,305,31,128,6,433,37,48,5,34,6,5,1,3226,156.6,664,294,25,89,6,383,31,43,3,32,4,2,1,5716,116.46,840,475,41,168,13,643,54,65,5,63,10,5,1,2196,139.13,417,245,20,85,5,330,25,27,3,21,3,3,0,1687,156.93,320,191,16,69,6,260,22,21,2,16,2,2,1,5238,96.43,701,182,20,68,2,250,22,60,5,47,10,4,1,1757,127.01,251,60,11,43,1,103,12,21,2,13,3,2,1,1539,156.24,344,103,9,20,0,123,9,22,1,16,2,0,0
K. Diatta,25/02/1999,AS Monaco,LOSC Lille v AS Monaco,22/02/2025,FRA - Ligue 1,2024/2025,Full Back,67.77,21.05,19.92,47.57,15.2,13.58,20.2,5.85,6.33,TRUE,7691,113.49,1292,445,36,23,3,468,39,86,3,74,15,3,0.86,0,null,25.1,10214.31,113.49,1715.89,591,47.81,30.55,3.98,621.54,51.8,114.22,3.98,98.28,19.92,3.98,0,2676,127.13,457,191,10,13,1,204,11,24,1,19,3,0,0,2910,146.11,664,223,19,10,2,233,21,37,1,27,7,1,0,5251,110.39,821,345,26,14,2,359,28,57,2,48,11,2,0,1906,125.39,296,164,9,10,1,174,10,17,0,13,2,0,0,1967,144.81,431,164,13,4,1,168,14,21,1,16,4,1,0,2440,120.79,471,100,10,9,1,109,11,29,1,26,4,0,0,770,131.62,161,27,1,3,0,30,1,7,1,6,1,0,0,943,148.89,233,59,6,6,1,65,7,16,0,11,3,0,0